case_id configuration_id profile d_bin_index epoch_index rep lane root_index source_root_index role role_hint physical_real v_re v_im final_v_re final_v_im d14real_updates cluster_id double_seed_index double_seed_v_re double_seed_v_im double_seed_valid expanded_seed_source_index expanded_seed_displacement expanded_seed_match_valid cluster_size freeze_count reactivation_count d14real_newton d14real_nearest_sep d14real_rel_correction d14real_position_error qf_escalated qf_source_match_valid qf_displacement qf_displacement_valid qf_newton qf_nearest_sep qf_position_error qf_expanded_relative_residual
9 9 uniform 2 0 0 cold 0 0 1 1 1 0.0010240085994383352 2.0089528232882954e-73 0.0010240085994383352 2.0089528232882954e-73 8 0 0 0.0010240085994385752 -1.0951177914535466e-30 1 0 2.399479855243379e-16 1 1 0 0 1.3184670406230664e-31 7.0634577040598438e-06 1.8666028676936152e-26 2.0600961007625114e-30 0 1 0 1 2.7139406169157113e-32 7.0634577040598362e-06 4.2405144082835313e-31 3.1580480244481677e-62
9 9 uniform 2 0 0 cold 1 1 2 2 -1 3.9962780590073472 0.10965546387733638 3.9962780590073472 0.10965546387733638 8 1 1 3.9962780590074316 0.10965546387694206 1 1 4.0324088414701462e-13 1 1 0 0 2.5655127150691213e-33 0.21931092775467276 1.1698061475253867e-32 6.4167678363593352e-34 0 1 1.7226041102208997e-33 1 3.0916212024874977e-32 0.21931092775467276 7.7326514025068294e-33 5.0075451638717378e-28
9 9 uniform 2 0 0 cold 2 2 1 1 1 5.3063233044029552 5.3157024025832343e-74 5.3063233044029552 5.3157024025832343e-74 8 2 2 5.306323304195109 2.3794803034728089e-27 1 2 2.0784645995227846e-10 1 1 0 0 6.5470997097045007e-28 0.00037757694657436502 1.7339776088302647e-24 1.421091709530308e-28 0 1 0 1 1.842090931778119e-28 0.00037757694657441316 3.9983813710223713e-29 9.8109402748249629e-27
9 9 uniform 2 0 0 cold 3 3 1 1 1 5.3059457274563808 2.4036786109251616e-73 5.3059457274563808 2.4036786109251616e-73 8 3 3 5.3059457270758648 1.279691561674619e-28 1 3 3.8051629019138267e-10 1 1 0 0 3.3709352143845957e-28 0.00037757694657436502 8.9278099337579109e-25 7.3171003058844039e-29 0 1 0 1 3.8978182938590892e-28 0.00037757694657441316 8.4607759023588848e-29 5.3877786286726428e-27
9 9 uniform 2 0 0 cold 4 4 2 2 -1 3.9962780590073472 -0.10965546387733638 3.9962780590073472 -0.10965546387733638 8 4 4 3.9962780590074241 -0.10965546387704025 1 4 3.0591819287070922e-13 1 1 0 0 3.1179045739259581e-33 0.21931092775467276 1.4216822690266179e-32 7.7983904228152345e-34 0 1 1.7226041102208997e-33 1 3.0916212024874977e-32 0.21931092775467276 7.7326514025068294e-33 5.0075451638717378e-28
9 9 uniform 2 0 0 cold 5 5 1 1 1 0.0010169451417342754 4.4559899606905649e-73 0.0010169451417342754 4.4559899606905649e-73 8 5 5 0.0010169451417336671 -9.4439168396265009e-30 1 5 6.0833920515794217e-16 1 1 0 0 6.3529520488159087e-32 7.0634577040598438e-06 8.994110696188413e-27 9.9608596012385618e-31 0 1 0 1 1.379820510614698e-31 7.0634577040598362e-06 2.1634349315927885e-30 1.1476446275422139e-61
9 9 uniform 2 0 0 cold 6 6 1 1 1 0.00025526036325248836 1.316480802801777e-38 0.00025526036325248836 1.316480802801777e-38 8 6 6 0.00025832353258169259 -2.5807810043569347e-10 1 6 3.0631693400760143e-06 0 1 0 0 1.4191485388469459e-17 1.0109072498347169e-06 1.4038365429459293e-11 4.441259681946872e-16 0 1 0 1 6.7631297554421591e-18 1.0109072498364703e-06 2.1165378171777071e-16 1.5448607017800705e-63
9 9 uniform 2 0 0 cold 7 7 2 2 -1 0.00025612858382287844 4.4562157194365664e-06 0.00025612858382287844 4.4562157194366029e-06 8 7 7 0.00025740789888131218 4.2254720625719642e-06 1 7 1.2999575585066479e-06 0 1 0 0 4.861270692967305e-20 4.0370871978118539e-06 1.2041530080405912e-14 1.5187657161898387e-18 0 1 3.7010335651533821e-20 1 3.8226381213402767e-21 4.0370871978015709e-06 1.1942745201354275e-19 5.012033480060994e-64
9 9 uniform 2 0 0 cold 8 8 2 2 -1 0.00025456533398818064 7.3407614695225674e-07 0.0002545653339881871 7.340761469607492e-07 8 8 8 0.00025480398829828924 4.6288687073710131e-06 1 8 3.9020975088223362e-06 0 3 0 0 1.8740085501109673e-17 8.2131366974520911e-07 2.2817208810031481e-11 5.8727557829682668e-16 0 1 1.0638188095080145e-17 1 1.3664134063649142e-17 8.2131366975568977e-07 4.2820574290761093e-16 2.5574655106432979e-63
9 9 uniform 2 0 0 cold 9 9 1 2 1 0.00025419697498586623 -6.5334459062462443e-38 0.00025419697498586623 -6.5334459062462443e-38 8 8 9 0.00025049584222802809 3.0985455880888468e-06 1 9 4.8269419359059336e-06 0 3 0 0 1.5699606518042645e-16 8.2131366974520911e-07 1.9115238302210448e-10 4.9234959280130522e-15 0 1 0 1 8.3439455505121473e-17 8.2131366975568977e-07 2.6167141128216647e-15 7.3456084582512295e-63
9 9 uniform 2 0 0 cold 10 10 1 1 1 0.00024925172507240362 7.5113311532894751e-46 0.00024925172507240362 7.5113311532894751e-46 8 9 10 0.00024833527974306262 1.5212355676842479e-11 1 10 9.1644532946725241e-07 0 1 0 0 3.7495423770304193e-20 3.1362694189092659e-06 1.1955421796429842e-14 1.1874878760619988e-18 0 1 0 1 4.2299524940874439e-20 3.1362694189092909e-06 1.339634760182443e-18 4.5446580156542343e-63
9 9 uniform 2 0 0 cold 11 11 1 2 1 0.00025238799449131289 4.5746421826570518e-41 0.00025238799449131289 4.5746421826570518e-41 8 10 11 0.00025038905206455309 -3.2159142649748372e-06 1 11 3.7865387077341594e-06 0 1 0 0 4.6741712900124441e-18 1.8089804945533401e-06 2.5838704751576416e-12 1.4710935168098541e-16 0 1 0 1 3.7977641731351314e-19 1.8089804945533136e-06 1.1952634824080128e-17 6.7957329045371087e-64
9 9 uniform 2 0 0 cold 12 12 2 2 -1 0.00025456533398819349 -7.3407614696924176e-07 0.0002545653339881871 -7.340761469607492e-07 8 8 12 0.00025458190711056552 -5.2854258472130581e-06 1 12 4.5513798745404839e-06 0 3 0 0 4.1641889124648252e-18 8.2131366976615232e-07 5.070156586643042e-12 1.3049708079294213e-16 0 1 1.0638188095080145e-17 1 1.3664134063649142e-17 8.2131366975568977e-07 4.2820574290761093e-16 2.5574655106432979e-63
9 9 uniform 2 0 0 cold 13 13 2 2 -1 0.00025612858382287844 -4.4562157194366393e-06 0.00025612858382287844 -4.4562157194366029e-06 8 11 13 0.00025700477049121816 -4.0093842129765231e-06 1 13 9.8354535886334192e-07 0 1 0 0 5.371564902530618e-20 4.0370871977912862e-06 1.3305545903168582e-14 1.6781926231868411e-18 0 1 3.7010335651533821e-20 1 3.8226381213402767e-21 4.0370871978015709e-06 1.1942745201354275e-19 5.012033480060994e-64
9 9 uniform 2 7 0 cold 0 0 1 1 1 0.0010239792350556676 1.5515329081072179e-75 0.0010239792350556676 2.9054598992946639e-82 25 0 0 0.0010239792350543579 -2.5497662111056565e-29 1 0 1.3096348768011602e-15 1 1 0 0 6.0816348081316234e-32 7.0634483199079681e-06 8.6100082179278444e-27 9.5026507368335473e-31 1 1 1.0863298129282347e-31 1 2.0426892481147588e-33 7.0634483199079952e-06 3.1917343117619781e-32 6.8693159518955005e-64
9 9 uniform 2 7 0 cold 1 1 2 2 -1 3.9962857796622302 0.10965535798701201 3.9962857796622302 0.10965535798701201 25 1 1 3.9962857796622187 0.10965535798707728 1 1 6.629774558359791e-14 1 1 0 0 1.7895597667771553e-32 0.21931071597402402 8.1599285234612859e-32 4.4759779956365056e-33 1 1 5.007548062318955e-33 1 1.3408073815980037e-34 0.21931071597402402 3.3535758055332892e-35 1.6373304214079867e-29
