rep	row	name	u	value_rtol	path	h_split_min_level	ms	value_converged	value_stop	gradient_stop	mu	nodes	evals	splits	grad0	error0	quality0	reason0	grad1	error1	quality1	reason1	grad2	error2	quality2	reason2	grad3	error3	quality3	reason3	grad4	error4	quality4	reason4	radial0	inner0	geometry0	event0	roundoff0	radial1	inner1	geometry1	event1	roundoff1	radial2	inner2	geometry2	event2	roundoff2	radial3	inner3	geometry3	event3	roundoff3	radial4	inner4	geometry4	event4	roundoff4	radial5	inner5	geometry5	event5	roundoff5
1	1	plan15	0	0.001	cold	0	0.46478399999999997	1	Converged	BudgetExceeded	6.0199734411766661	144	144	0	5.5616775849474545	0.011025866122440489	FiniteUncertified	BudgetExceeded	-17.137984854518567	0.019271419462617775	FiniteUncertified	BudgetExceeded	-10.351483910231488	0.026852021195807589	FiniteUncertified	BudgetExceeded	-4.9880842423902445	0.012978625143217863	FiniteUncertified	BudgetExceeded	1.2384881742860891	0.0063386119300913165	FiniteUncertified	BudgetExceeded	0.0041771522964807453	0	4.5816135257485174e-14	9.1439498321603649e-15	2.6734052488105081e-15	0.011024204240376343	0	2.2140313741291984e-11	1.6618599121705164e-06	1.1660582621784333e-14	0.019269589370783539	0	2.6811949758856466e-11	1.8300650026290229e-06	1.96556916905494e-14	0.026849467307289047	0	3.6492948193791994e-11	2.5538519518294698e-06	7.3768062121544135e-14	0.012977437178938579	0	1.4306476369781212e-11	1.1879499626915506e-06	1.0117387177863134e-14	0.0063377393244230633	0	7.4339786232559468e-12	8.7259822895886263e-07	5.3151529117077196e-15
1	1	plan15	0	0.001	cold	4	0.413136	1	Converged	BudgetExceeded	6.0199734411766661	144	144	0	5.5616775849474545	0.011025866122440489	FiniteUncertified	BudgetExceeded	-17.137984854518567	0.019271419462617775	FiniteUncertified	BudgetExceeded	-10.351483910231488	0.026852021195807589	FiniteUncertified	BudgetExceeded	-4.9880842423902445	0.012978625143217863	FiniteUncertified	BudgetExceeded	1.2384881742860891	0.0063386119300913165	FiniteUncertified	BudgetExceeded	0.0041771522964807453	0	4.5816135257485174e-14	9.1439498321603649e-15	2.6734052488105081e-15	0.011024204240376343	0	2.2140313741291984e-11	1.6618599121705164e-06	1.1660582621784333e-14	0.019269589370783539	0	2.6811949758856466e-11	1.8300650026290229e-06	1.96556916905494e-14	0.026849467307289047	0	3.6492948193791994e-11	2.5538519518294698e-06	7.3768062121544135e-14	0.012977437178938579	0	1.4306476369781212e-11	1.1879499626915506e-06	1.0117387177863134e-14	0.0063377393244230633	0	7.4339786232559468e-12	8.7259822895886263e-07	5.3151529117077196e-15
1	1	plan15	0	0.001	warm	8	0.25651099999999999	1	Converged	BudgetExceeded	6.0199734411766661	144	144	0	5.5616775849474545	0.011025866122440489	FiniteUncertified	BudgetExceeded	-17.137984854518567	0.019271419462617775	FiniteUncertified	BudgetExceeded	-10.351483910231488	0.026852021195807589	FiniteUncertified	BudgetExceeded	-4.9880842423902445	0.012978625143217863	FiniteUncertified	BudgetExceeded	1.2384881742860891	0.0063386119300913165	FiniteUncertified	BudgetExceeded	0.0041771522964807453	0	4.5816135257485174e-14	9.1439498321603649e-15	2.6734052488105081e-15	0.011024204240376343	0	2.2140313741291984e-11	1.6618599121705164e-06	1.1660582621784333e-14	0.019269589370783539	0	2.6811949758856466e-11	1.8300650026290229e-06	1.96556916905494e-14	0.026849467307289047	0	3.6492948193791994e-11	2.5538519518294698e-06	7.3768062121544135e-14	0.012977437178938579	0	1.4306476369781212e-11	1.1879499626915506e-06	1.0117387177863134e-14	0.0063377393244230633	0	7.4339786232559468e-12	8.7259822895886263e-07	5.3151529117077196e-15
1	1	plan15	0	0.001	warm	5	0.25786100000000001	1	Converged	BudgetExceeded	6.0199734411766661	144	144	0	5.5616775849474545	0.011025866122440489	FiniteUncertified	BudgetExceeded	-17.137984854518567	0.019271419462617775	FiniteUncertified	BudgetExceeded	-10.351483910231488	0.026852021195807589	FiniteUncertified	BudgetExceeded	-4.9880842423902445	0.012978625143217863	FiniteUncertified	BudgetExceeded	1.2384881742860891	0.0063386119300913165	FiniteUncertified	BudgetExceeded	0.0041771522964807453	0	4.5816135257485174e-14	9.1439498321603649e-15	2.6734052488105081e-15	0.011024204240376343	0	2.2140313741291984e-11	1.6618599121705164e-06	1.1660582621784333e-14	0.019269589370783539	0	2.6811949758856466e-11	1.8300650026290229e-06	1.96556916905494e-14	0.026849467307289047	0	3.6492948193791994e-11	2.5538519518294698e-06	7.3768062121544135e-14	0.012977437178938579	0	1.4306476369781212e-11	1.1879499626915506e-06	1.0117387177863134e-14	0.0063377393244230633	0	7.4339786232559468e-12	8.7259822895886263e-07	5.3151529117077196e-15
1	1	plan15	0	0.001	warm	4	0.25140800000000002	1	Converged	BudgetExceeded	6.0199734411766661	144	144	0	5.5616775849474545	0.011025866122440489	FiniteUncertified	BudgetExceeded	-17.137984854518567	0.019271419462617775	FiniteUncertified	BudgetExceeded	-10.351483910231488	0.026852021195807589	FiniteUncertified	BudgetExceeded	-4.9880842423902445	0.012978625143217863	FiniteUncertified	BudgetExceeded	1.2384881742860891	0.0063386119300913165	FiniteUncertified	BudgetExceeded	0.0041771522964807453	0	4.5816135257485174e-14	9.1439498321603649e-15	2.6734052488105081e-15	0.011024204240376343	0	2.2140313741291984e-11	1.6618599121705164e-06	1.1660582621784333e-14	0.019269589370783539	0	2.6811949758856466e-11	1.8300650026290229e-06	1.96556916905494e-14	0.026849467307289047	0	3.6492948193791994e-11	2.5538519518294698e-06	7.3768062121544135e-14	0.012977437178938579	0	1.4306476369781212e-11	1.1879499626915506e-06	1.0117387177863134e-14	0.0063377393244230633	0	7.4339786232559468e-12	8.7259822895886263e-07	5.3151529117077196e-15
1	1	plan15	0	0.001	warm	0	0.249781	1	Converged	BudgetExceeded	6.0199734411766661	144	144	0	5.5616775849474545	0.011025866122440489	FiniteUncertified	BudgetExceeded	-17.137984854518567	0.019271419462617775	FiniteUncertified	BudgetExceeded	-10.351483910231488	0.026852021195807589	FiniteUncertified	BudgetExceeded	-4.9880842423902445	0.012978625143217863	FiniteUncertified	BudgetExceeded	1.2384881742860891	0.0063386119300913165	FiniteUncertified	BudgetExceeded	0.0041771522964807453	0	4.5816135257485174e-14	9.1439498321603649e-15	2.6734052488105081e-15	0.011024204240376343	0	2.2140313741291984e-11	1.6618599121705164e-06	1.1660582621784333e-14	0.019269589370783539	0	2.6811949758856466e-11	1.8300650026290229e-06	1.96556916905494e-14	0.026849467307289047	0	3.6492948193791994e-11	2.5538519518294698e-06	7.3768062121544135e-14	0.012977437178938579	0	1.4306476369781212e-11	1.1879499626915506e-06	1.0117387177863134e-14	0.0063377393244230633	0	7.4339786232559468e-12	8.7259822895886263e-07	5.3151529117077196e-15
0	1	plan15	0	0.0001	cold	5	0.49213800000000002	1	Converged	Converged	6.0199533684430548	184	184	0	5.5616784661144214	0.0026019367749630646	ToleranceMet	ToleranceMet	-17.137986500958792	0.0039835599322223239	ToleranceMet	ToleranceMet	-10.35148557365531	0.0076581192876629149	ToleranceMet	ToleranceMet	-4.9880854993532955	0.0026202734958618605	ToleranceMet	ToleranceMet	1.2384878941294108	0.00085202122516170244	ToleranceMet	ToleranceMet	0.00018847630134735067	0	4.5764759189556454e-14	8.8837034303111218e-15	2.6733963347260991e-15	0.0026002748038523845	0	3.1995951939709767e-11	1.6619391030698635e-06	1.1658404244219815e-14	0.0039817298086255856	0	3.2895516904680942e-11	1.8300906815659978e-06	1.9654894638081259e-14	0.0076555650221900879	0	4.8130881931554951e-11	2.5542172681805218e-06	7.3763685164679339e-14	0.0026190854519292472	0	1.9656573040268059e-11	1.1880242659240506e-06	1.0116353844359585e-14	0.00085114856267730192	0	9.9208135062782144e-12	8.7265255827381916e-07	5.3131415146153616e-15
0	1	plan15	0	0.0001	cold	4	0.54526799999999997	1	Converged	Converged	6.0199533684430548	184	184	0	5.5616784661144214	0.0026019367749630646	ToleranceMet	ToleranceMet	-17.137986500958792	0.0039835599322223239	ToleranceMet	ToleranceMet	-10.35148557365531	0.0076581192876629149	ToleranceMet	ToleranceMet	-4.9880854993532955	0.0026202734958618605	ToleranceMet	ToleranceMet	1.2384878941294108	0.00085202122516170244	ToleranceMet	ToleranceMet	0.00018847630134735067	0	4.5764759189556454e-14	8.8837034303111218e-15	2.6733963347260991e-15	0.0026002748038523845	0	3.1995951939709767e-11	1.6619391030698635e-06	1.1658404244219815e-14	0.0039817298086255856	0	3.2895516904680942e-11	1.8300906815659978e-06	1.9654894638081259e-14	0.0076555650221900879	0	4.8130881931554951e-11	2.5542172681805218e-06	7.3763685164679339e-14	0.0026190854519292472	0	1.9656573040268059e-11	1.1880242659240506e-06	1.0116353844359585e-14	0.00085114856267730192	0	9.9208135062782144e-12	8.7265255827381916e-07	5.3131415146153616e-15
0	1	plan15	0	0.0001	cold	0	0.51071100000000003	1	Converged	Converged	6.0199533684430548	184	184	0	5.5616784661144214	0.0026019367749630646	ToleranceMet	ToleranceMet	-17.137986500958792	0.0039835599322223239	ToleranceMet	ToleranceMet	-10.35148557365531	0.0076581192876629149	ToleranceMet	ToleranceMet	-4.9880854993532955	0.0026202734958618605	ToleranceMet	ToleranceMet	1.2384878941294108	0.00085202122516170244	ToleranceMet	ToleranceMet	0.00018847630134735067	0	4.5764759189556454e-14	8.8837034303111218e-15	2.6733963347260991e-15	0.0026002748038523845	0	3.1995951939709767e-11	1.6619391030698635e-06	1.1658404244219815e-14	0.0039817298086255856	0	3.2895516904680942e-11	1.8300906815659978e-06	1.9654894638081259e-14	0.0076555650221900879	0	4.8130881931554951e-11	2.5542172681805218e-06	7.3763685164679339e-14	0.0026190854519292472	0	1.9656573040268059e-11	1.1880242659240506e-06	1.0116353844359585e-14	0.00085114856267730192	0	9.9208135062782144e-12	8.7265255827381916e-07	5.3131415146153616e-15
0	1	plan15	0	0.0001	cold	8	0.57231399999999999	1	Converged	Converged	6.0199533684430548	184	184	0	5.5616784661144214	0.0026019367749630646	ToleranceMet	ToleranceMet	-17.137986500958792	0.0039835599322223239	ToleranceMet	ToleranceMet	-10.35148557365531	0.0076581192876629149	ToleranceMet	ToleranceMet	-4.9880854993532955	0.0026202734958618605	ToleranceMet	ToleranceMet	1.2384878941294108	0.00085202122516170244	ToleranceMet	ToleranceMet	0.00018847630134735067	0	4.5764759189556454e-14	8.8837034303111218e-15	2.6733963347260991e-15	0.0026002748038523845	0	3.1995951939709767e-11	1.6619391030698635e-06	1.1658404244219815e-14	0.0039817298086255856	0	3.2895516904680942e-11	1.8300906815659978e-06	1.9654894638081259e-14	0.0076555650221900879	0	4.8130881931554951e-11	2.5542172681805218e-06	7.3763685164679339e-14	0.0026190854519292472	0	1.9656573040268059e-11	1.1880242659240506e-06	1.0116353844359585e-14	0.00085114856267730192	0	9.9208135062782144e-12	8.7265255827381916e-07	5.3131415146153616e-15
0	1	plan15	0	0.0001	warm	8	0.31716699999999998	1	Converged	Converged	6.0199533684430548	184	184	0	5.5616784661144214	0.0026019367749630646	ToleranceMet	ToleranceMet	-17.137986500958792	0.0039835599322223239	ToleranceMet	ToleranceMet	-10.35148557365531	0.0076581192876629149	ToleranceMet	ToleranceMet	-4.9880854993532955	0.0026202734958618605	ToleranceMet	ToleranceMet	1.2384878941294108	0.00085202122516170244	ToleranceMet	ToleranceMet	0.00018847630134735067	0	4.5764759189556454e-14	8.8837034303111218e-15	2.6733963347260991e-15	0.0026002748038523845	0	3.1995951939709767e-11	1.6619391030698635e-06	1.1658404244219815e-14	0.0039817298086255856	0	3.2895516904680942e-11	1.8300906815659978e-06	1.9654894638081259e-14	0.0076555650221900879	0	4.8130881931554951e-11	2.5542172681805218e-06	7.3763685164679339e-14	0.0026190854519292472	0	1.9656573040268059e-11	1.1880242659240506e-06	1.0116353844359585e-14	0.00085114856267730192	0	9.9208135062782144e-12	8.7265255827381916e-07	5.3131415146153616e-15
0	1	plan15	0	0.0001	warm	0	0.32389499999999999	1	Converged	Converged	6.0199533684430548	184	184	0	5.5616784661144214	0.0026019367749630646	ToleranceMet	ToleranceMet	-17.137986500958792	0.0039835599322223239	ToleranceMet	ToleranceMet	-10.35148557365531	0.0076581192876629149	ToleranceMet	ToleranceMet	-4.9880854993532955	0.0026202734958618605	ToleranceMet	ToleranceMet	1.2384878941294108	0.00085202122516170244	ToleranceMet	ToleranceMet	0.00018847630134735067	0	4.5764759189556454e-14	8.8837034303111218e-15	2.6733963347260991e-15	0.0026002748038523845	0	3.1995951939709767e-11	1.6619391030698635e-06	1.1658404244219815e-14	0.0039817298086255856	0	3.2895516904680942e-11	1.8300906815659978e-06	1.9654894638081259e-14	0.0076555650221900879	0	4.8130881931554951e-11	2.5542172681805218e-06	7.3763685164679339e-14	0.0026190854519292472	0	1.9656573040268059e-11	1.1880242659240506e-06	1.0116353844359585e-14	0.00085114856267730192	0	9.9208135062782144e-12	8.7265255827381916e-07	5.3131415146153616e-15
0	1	plan15	0	0.0001	warm	4	0.30815700000000001	1	Converged	Converged	6.0199533684430548	184	184	0	5.5616784661144214	0.0026019367749630646	ToleranceMet	ToleranceMet	-17.137986500958792	0.0039835599322223239	ToleranceMet	ToleranceMet	-10.35148557365531	0.0076581192876629149	ToleranceMet	ToleranceMet	-4.9880854993532955	0.0026202734958618605	ToleranceMet	ToleranceMet	1.2384878941294108	0.00085202122516170244	ToleranceMet	ToleranceMet	0.00018847630134735067	0	4.5764759189556454e-14	8.8837034303111218e-15	2.6733963347260991e-15	0.0026002748038523845	0	3.1995951939709767e-11	1.6619391030698635e-06	1.1658404244219815e-14	0.0039817298086255856	0	3.2895516904680942e-11	1.8300906815659978e-06	1.9654894638081259e-14	0.0076555650221900879	0	4.8130881931554951e-11	2.5542172681805218e-06	7.3763685164679339e-14	0.0026190854519292472	0	1.9656573040268059e-11	1.1880242659240506e-06	1.0116353844359585e-14	0.00085114856267730192	0	9.9208135062782144e-12	8.7265255827381916e-07	5.3131415146153616e-15
0	1	plan15	0	0.0001	warm	5	0.31052000000000002	1	Converged	Converged	6.0199533684430548	184	184	0	5.5616784661144214	0.0026019367749630646	ToleranceMet	ToleranceMet	-17.137986500958792	0.0039835599322223239	ToleranceMet	ToleranceMet	-10.35148557365531	0.0076581192876629149	ToleranceMet	ToleranceMet	-4.9880854993532955	0.0026202734958618605	ToleranceMet	ToleranceMet	1.2384878941294108	0.00085202122516170244	ToleranceMet	ToleranceMet	0.00018847630134735067	0	4.5764759189556454e-14	8.8837034303111218e-15	2.6733963347260991e-15	0.0026002748038523845	0	3.1995951939709767e-11	1.6619391030698635e-06	1.1658404244219815e-14	0.0039817298086255856	0	3.2895516904680942e-11	1.8300906815659978e-06	1.9654894638081259e-14	0.0076555650221900879	0	4.8130881931554951e-11	2.5542172681805218e-06	7.3763685164679339e-14	0.0026190854519292472	0	1.9656573040268059e-11	1.1880242659240506e-06	1.0116353844359585e-14	0.00085114856267730192	0	9.9208135062782144e-12	8.7265255827381916e-07	5.3131415146153616e-15
1	1	plan15	0	0.0001	cold	8	0.465003	1	Converged	Converged	6.0199533684430548	184	184	0	5.5616784661144214	0.0026019367749630646	ToleranceMet	ToleranceMet	-17.137986500958792	0.0039835599322223239	ToleranceMet	ToleranceMet	-10.35148557365531	0.0076581192876629149	ToleranceMet	ToleranceMet	-4.9880854993532955	0.0026202734958618605	ToleranceMet	ToleranceMet	1.2384878941294108	0.00085202122516170244	ToleranceMet	ToleranceMet	0.00018847630134735067	0	4.5764759189556454e-14	8.8837034303111218e-15	2.6733963347260991e-15	0.0026002748038523845	0	3.1995951939709767e-11	1.6619391030698635e-06	1.1658404244219815e-14	0.0039817298086255856	0	3.2895516904680942e-11	1.8300906815659978e-06	1.9654894638081259e-14	0.0076555650221900879	0	4.8130881931554951e-11	2.5542172681805218e-06	7.3763685164679339e-14	0.0026190854519292472	0	1.9656573040268059e-11	1.1880242659240506e-06	1.0116353844359585e-14	0.00085114856267730192	0	9.9208135062782144e-12	8.7265255827381916e-07	5.3131415146153616e-15
