name,u,rtol,stop,mu,error,reference128,reference256,reference_uncertainty,actual_difference,reference_usable,violation
plan15,0,0.001,Converged,6.0199516089053375,0.005839888,6.0199533596500139,6.0199533596500112,2.66453526e-15,1.75074467e-06,1,0
plan15,0,0.0001,Converged,6.0199533596044921,0.000319358321,6.0199533596500139,6.0199533596500112,2.66453526e-15,4.5519144e-11,1,0
plan15,0,1e-05,Converged,6.0199533595851955,5.84004617e-05,6.0199533596500139,6.0199533596500112,2.66453526e-15,6.48157084e-11,1,0
plan15,0,1e-06,Converged,6.0199533596497696,2.63063291e-06,6.0199533596500139,6.0199533596500112,2.66453526e-15,2.4158453e-13,1,0
plan15,0,1e-08,Converged,6.019953359650013,2.39523021e-08,6.0199533596500139,6.0199533596500112,2.66453526e-15,1.77635684e-15,1,0
plan15,0.5,0.001,Converged,6.1205006645589828,0.00432225846,6.1205016227172315,6.1205016227172298,1.77635684e-15,9.58158247e-07,1,0
plan15,0.5,0.0001,Converged,6.1205016288542371,0.000424651965,6.1205016227172315,6.1205016227172298,1.77635684e-15,6.13700735e-09,1,0
plan15,0.5,1e-05,Converged,6.1205016227633111,2.15178433e-05,6.1205016227172315,6.1205016227172298,1.77635684e-15,4.60813609e-11,1,0
plan15,0.5,1e-06,Converged,6.1205016227777005,5.80467026e-06,6.1205016227172315,6.1205016227172298,1.77635684e-15,6.04707395e-11,1,0
plan15,0.5,1e-08,Converged,6.1205016227172306,3.60303661e-08,6.1205016227172315,6.1205016227172298,1.77635684e-15,8.8817842e-16,1,0
resonant,0,0.001,Converged,13.730120074185391,0.0108194838,13.730115998899569,13.730115998899564,5.32907052e-15,4.07528583e-06,1,0
resonant,0,0.0001,Converged,13.730116144653451,0.00071444952,13.730115998899569,13.730115998899564,5.32907052e-15,1.45753887e-07,1,0
resonant,0,1e-05,Converged,13.730115998776757,0.000128320681,13.730115998899569,13.730115998899564,5.32907052e-15,1.22806654e-10,1,0
resonant,0,1e-06,Converged,13.730115998934352,3.13270186e-06,13.730115998899569,13.730115998899564,5.32907052e-15,3.47881723e-11,1,0
resonant,0,1e-08,Converged,13.730115998899567,8.40473813e-08,13.730115998899569,13.730115998899564,5.32907052e-15,3.55271368e-15,1,0
resonant,0.5,0.001,Converged,13.877484232546381,0.0128503658,13.877481463961633,13.877481464091501,1.29867672e-10,2.76845488e-06,1,0
resonant,0.5,0.0001,Converged,13.877481553095594,0.00138595502,13.877481463961633,13.877481464091501,1.29867672e-10,8.9004093e-08,1,0
resonant,0.5,1e-05,Converged,13.87748142586519,9.86054729e-05,13.877481463961633,13.877481464091501,1.29867672e-10,3.8226311e-08,1,0
resonant,0.5,1e-06,Converged,13.8774814244188,6.94052543e-06,13.877481463961633,13.877481464091501,1.29867672e-10,3.96727007e-08,1,0
resonant,0.5,1e-08,Converged,13.877481424397958,1.34401372e-07,13.877481463961633,13.877481464091501,1.29867672e-10,3.96935427e-08,1,0
close-binary,0,0.001,Converged,8.1331861615733256,0.00748809419,8.1331871251541461,8.1331871251541443,1.77635684e-15,9.63580819e-07,1,0
close-binary,0,0.0001,Converged,8.1331871350959748,0.000344274163,8.1331871251541461,8.1331871251541443,1.77635684e-15,9.94183047e-09,1,0
close-binary,0,1e-05,Converged,8.1331871252328884,5.64457212e-05,8.1331871251541461,8.1331871251541443,1.77635684e-15,7.87441223e-11,1,0
close-binary,0,1e-06,Converged,8.1331871251541425,7.2321747e-06,8.1331871251541461,8.1331871251541443,1.77635684e-15,1.77635684e-15,1,0
close-binary,0,1e-08,Converged,8.1331871251541479,3.68140194e-08,8.1331871251541461,8.1331871251541443,1.77635684e-15,3.55271368e-15,1,0
close-binary,0.5,0.001,Converged,8.0833951022848609,0.00303271079,8.0833995979319706,8.0833995986615612,7.2959061e-10,4.4963767e-06,1,0
