name,u,policy,warm,rtol,index,input_radius,selected_radius,radius_lo,uncertainty,t_seed,d14_condition,t_seed_valid,topology_reused,precision_tier,double_reason,dd_reason,qf_reason,double_residual,dd_residual
case9,0.5,ValueFirst,0,0.001,1,0.01590174959998247,0.015901749599982459,1.6312198024118754e-18,3.4694469519536142e-18,-0.92602641452085854,1.6652214667714604e-39,1,1,2,TopologySeedReused,DDResidualRejected,QfRefined,inf,4.0158485762876367e-22
case9,0.5,ValueFirst,0,0.001,2,0.015942201154960409,0.015942201154956075,-1.5027573107937969e-18,3.4694469519536142e-18,-0.99864421986927088,2.3129705913965169e-41,1,1,2,TopologySeedReused,DDResidualRejected,QfRefined,inf,3.8675555816514127e-22
case9,0.5,ValueFirst,0,0.001,3,0.015950811583717948,0.015950811585069394,7.0120098303350086e-19,3.4694469519536142e-18,-0.98618952204082688,2.2447559032986098e-43,1,1,2,TopologySeedReused,DDResidualRejected,QfRefined,inf,1.0686683959287641e-20
case9,0.5,ValueFirst,0,0.001,4,0.015950908557238078,0.015950908556747977,2.1114419194344379e-19,3.4694469519536142e-18,-0.98219044290202007,2.264358179557454e-43,1,1,2,TopologySeedReused,DDResidualRejected,QfRefined,inf,7.1595573715507472e-21
case9,0.5,ValueFirst,0,0.001,5,0.015971986417244764,0.01597198641724467,-2.4725853356615696e-19,3.4694469519536142e-18,-0.96504793622477592,2.5040679518614752e-40,1,1,2,TopologySeedReused,DDResidualRejected,QfRefined,inf,3.6300334366663526e-22
case9,0.5,ValueFirst,0,0.001,6,0.031889117057951909,0.031889117057951909,1.7643966028943563e-18,6.9388939039072284e-18,-0.95907602641348677,2.5695985059918107e-24,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,2.068769670835702e-36
case9,0.5,ValueFirst,0,0.001,7,0.031999675546099955,0.031999675546099955,6.3196946619834131e-19,6.9388939039072284e-18,-0.95901712347766077,2.7662053234543048e-24,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,5.6420943387342287e-37
case9,0.5,ValueFirst,0,0.001,8,2.3034688386386488,2.3034688386386488,1.0739958576984881e-16,4.4408920985006262e-16,0.030933186905145807,81318403.372827753,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,4.5872144525566641e-33
case9,0.5,ValueFirst,0,0.001,9,2.3035507958112884,2.3035507958112884,8.940096515879396e-17,4.4408920985006262e-16,0.03093206250104711,81422894.627399325,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,4.8296391732980263e-34
case9,0.5,ValueFirst,0,0.0001,0,0.015781172498783306,0.015781172498783306,1.3253398511968351e-18,3.4694469519536142e-18,-1.0609291790527968,4.7495308569346794e-37,1,1,2,TopologySeedReused,DDResidualRejected,QfRefined,inf,6.2900073393490743e-22
case9,0.5,ValueFirst,0,0.0001,1,0.01590174959998247,0.015901749599982459,1.6312198024118754e-18,3.4694469519536142e-18,-0.92602641452085854,1.6652214667714604e-39,1,1,2,TopologySeedReused,DDResidualRejected,QfRefined,inf,4.0158485762876367e-22
case9,0.5,ValueFirst,0,0.0001,2,0.015942201154960409,0.015942201154956075,-1.5027573107937969e-18,3.4694469519536142e-18,-0.99864421986927088,2.3129705913965169e-41,1,1,2,TopologySeedReused,DDResidualRejected,QfRefined,inf,3.8675555816514127e-22
case9,0.5,ValueFirst,0,0.0001,3,0.015950811583717948,0.015950811585069394,7.0120098303350086e-19,3.4694469519536142e-18,-0.98618952204082688,2.2447559032986098e-43,1,1,2,TopologySeedReused,DDResidualRejected,QfRefined,inf,1.0686683959287641e-20
case9,0.5,ValueFirst,0,0.0001,4,0.015950908557238078,0.015950908556747977,2.1114419194344379e-19,3.4694469519536142e-18,-0.98219044290202007,2.264358179557454e-43,1,1,2,TopologySeedReused,DDResidualRejected,QfRefined,inf,7.1595573715507472e-21
case9,0.5,ValueFirst,0,0.0001,5,0.015971986417244764,0.01597198641724467,-2.4725853356615696e-19,3.4694469519536142e-18,-0.96504793622477592,2.5040679518614752e-40,1,1,2,TopologySeedReused,DDResidualRejected,QfRefined,inf,3.6300334366663526e-22
case9,0.5,ValueFirst,0,0.0001,6,0.031889117057951909,0.031889117057951909,1.7643966028943563e-18,6.9388939039072284e-18,-0.95907602641348677,2.5695985059918107e-24,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,2.068769670835702e-36
case9,0.5,ValueFirst,0,0.0001,7,0.031999675546099955,0.031999675546099955,6.3196946619834131e-19,6.9388939039072284e-18,-0.95901712347766077,2.7662053234543048e-24,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,5.6420943387342287e-37
case9,0.5,ValueFirst,0,0.0001,8,2.3034688386386488,2.3034688386386488,1.0739958576984881e-16,4.4408920985006262e-16,0.030933186905145807,81318403.372827753,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,4.5872144525566641e-33
case9,0.5,ValueFirst,0,0.0001,9,2.3035507958112884,2.3035507958112884,8.940096515879396e-17,4.4408920985006262e-16,0.03093206250104711,81422894.627399325,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,4.8296391732980263e-34
case9,0.5,ValueFirst,1,0.001,0,0.015780641866613352,0.015780641866613349,1.1486893244279311e-18,3.4694469519536142e-18,-1.0610724554294058,4.8740928727784942e-37,1,1,2,TopologySeedReused,DDResidualRejected,QfRefined,inf,4.7679898713803226e-22
case9,0.5,ValueFirst,1,0.001,1,0.015903135124104347,0.015903135124104174,7.1829746119680407e-19,3.4694469519536142e-18,-0.92655383876411557,1.4382311859640656e-39,1,1,2,TopologySeedReused,DDResidualRejected,QfRefined,inf,2.5434327272076003e-22
case9,0.5,ValueFirst,1,0.001,2,0.015938536754777802,0.015938536754778309,1.4405299263018004e-18,3.4694469519536142e-18,-1.0018205548496963,5.6732288407668314e-41,1,1,2,TopologySeedReused,DDResidualRejected,QfRefined,inf,5.0107246758538592e-22
case9,0.5,ValueFirst,1,0.001,3,0.015971472791373131,0.015971472791372981,-1.1057372352833959e-18,3.4694469519536142e-18,-0.96479195160537456,2.2486813424036095e-40,1,1,2,TopologySeedReused,DDResidualRejected,QfRefined,inf,5.6692401669286922e-22
case9,0.5,ValueFirst,1,0.001,4,0.031889079271370427,0.031889079271370427,3.6982806100948201e-19,6.9388939039072284e-18,-0.95907054675650816,2.5695383558589399e-24,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,1.8806997015334312e-36
case9,0.5,ValueFirst,1,0.001,5,0.031999637877770798,0.031999637877770798,-4.8470689395119411e-19,6.9388939039072284e-18,-0.95901166942465721,2.7661412109844014e-24,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,3.7613962273855238e-37
case9,0.5,ValueFirst,1,0.001,6,2.3034692480776635,2.3034692480776635,5.4832904885523916e-17,4.4408920985006262e-16,0.030933173980791897,81319025.65649578,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,4.5872144235897721e-33
case9,0.5,ValueFirst,1,0.001,7,2.3035512052599301,2.3035512052599301,-1.1613983254748004e-16,4.4408920985006262e-16,0.030932049578563121,81423517.677053705,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,3.058139077697761e-33
case9,0.5,ValueFirst,1,0.0001,0,0.015780641866613352,0.015780641866613349,1.1486893244279311e-18,3.4694469519536142e-18,-1.0610724554294058,4.8740928727784942e-37,1,1,2,TopologySeedReused,DDResidualRejected,QfRefined,inf,4.7679898713803226e-22
case9,0.5,ValueFirst,1,0.0001,1,0.015903135124104347,0.015903135124104174,7.1829746119680407e-19,3.4694469519536142e-18,-0.92655383876411557,1.4382311859640656e-39,1,1,2,TopologySeedReused,DDResidualRejected,QfRefined,inf,2.5434327272076003e-22
case9,0.5,ValueFirst,1,0.0001,2,0.015938536754777802,0.015938536754778309,1.4405299263018004e-18,3.4694469519536142e-18,-1.0018205548496963,5.6732288407668314e-41,1,1,2,TopologySeedReused,DDResidualRejected,QfRefined,inf,5.0107246758538592e-22
case9,0.5,ValueFirst,1,0.0001,3,0.015971472791373131,0.015971472791372981,-1.1057372352833959e-18,3.4694469519536142e-18,-0.96479195160537456,2.2486813424036095e-40,1,1,2,TopologySeedReused,DDResidualRejected,QfRefined,inf,5.6692401669286922e-22
case9,0.5,ValueFirst,1,0.0001,4,0.031889079271370427,0.031889079271370427,3.6982806100948201e-19,6.9388939039072284e-18,-0.95907054675650816,2.5695383558589399e-24,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,1.8806997015334312e-36
case9,0.5,ValueFirst,1,0.0001,5,0.031999637877770798,0.031999637877770798,-4.8470689395119411e-19,6.9388939039072284e-18,-0.95901166942465721,2.7661412109844014e-24,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,3.7613962273855238e-37
case9,0.5,ValueFirst,1,0.0001,6,2.3034692480776635,2.3034692480776635,5.4832904885523916e-17,4.4408920985006262e-16,0.030933173980791897,81319025.65649578,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,4.5872144235897721e-33
case9,0.5,ValueFirst,1,0.0001,7,2.3035512052599301,2.3035512052599301,-1.1613983254748004e-16,4.4408920985006262e-16,0.030932049578563121,81423517.677053705,1,1,1,TopologySeedReused,DDAccepted,NotAttempted,inf,3.058139077697761e-33
